transaction_id;transaction_qty;store_id;store_location;product_id;unit_price;product_category;product_type;product_detail;total_price;transaction_datetime;heure;jour_semaine;mois;annee
1.0;2.0;5.0;Lower Manhattan;32.0;3.0;Coffee;Gourmet brewed coffee;Ethiopia Rg;6.0;2023-01-01 07:06:11;7;Sunday;1;2023
2.0;2.0;5.0;Lower Manhattan;57.0;3.1;Tea;Brewed Chai tea;Spicy Eye Opener Chai Lg;6.2;2023-01-01 07:08:56;7;Sunday;1;2023
3.0;2.0;5.0;Lower Manhattan;59.0;4.5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;9.0;2023-01-01 07:14:04;7;Sunday;1;2023
4.0;1.0;5.0;Lower Manhattan;22.0;2.0;Coffee;Drip coffee;Our Old Time Diner Blend Sm;2.0;2023-01-01 07:20:24;7;Sunday;1;2023
5.0;2.0;5.0;Lower Manhattan;57.0;3.1;Tea;Brewed Chai tea;Spicy Eye Opener Chai Lg;6.2;2023-01-01 07:22:41;7;Sunday;1;2023
6.0;1.0;5.0;Lower Manhattan;77.0;3.0;Bakery;Scone;Oatmeal Scone;3.0;2023-01-01 07:22:41;7;Sunday;1;2023
7.0;1.0;5.0;Lower Manhattan;22.0;2.0;Coffee;Drip coffee;Our Old Time Diner Blend Sm;2.0;2023-01-01 07:25:49;7;Sunday;1;2023
8.0;2.0;5.0;Lower Manhattan;28.0;2.0;Coffee;Gourmet brewed coffee;Columbian Medium Roast Sm;4.0;2023-01-01 07:33:34;7;Sunday;1;2023
9.0;1.0;5.0;Lower Manhattan;39.0;4.25;Coffee;Barista Espresso;Latte Rg;4.25;2023-01-01 07:39:13;7;Sunday;1;2023
10.0;2.0;5.0;Lower Manhattan;58.0;3.5;Drinking Chocolate;Hot chocolate;Dark chocolate Rg;7.0;2023-01-01 07:39:34;7;Sunday;1;2023
11.0;1.0;5.0;Lower Manhattan;56.0;2.55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;2.55;2023-01-01 07:43:05;7;Sunday;1;2023
12.0;2.0;5.0;Lower Manhattan;33.0;3.5;Coffee;Gourmet brewed coffee;Ethiopia Lg;7.0;2023-01-01 07:44:35;7;Sunday;1;2023
13.0;1.0;5.0;Lower Manhattan;51.0;3.0;Tea;Brewed Black tea;Earl Grey Lg;3.0;2023-01-01 07:45:51;7;Sunday;1;2023
14.0;1.0;5.0;Lower Manhattan;57.0;3.1;Tea;Brewed Chai tea;Spicy Eye Opener Chai Lg;3.1;2023-01-01 07:48:19;7;Sunday;1;2023
15.0;2.0;5.0;Lower Manhattan;87.0;3.0;Coffee;Barista Espresso;Ouro Brasileiro shot;6.0;2023-01-01 07:52:36;7;Sunday;1;2023
16.0;2.0;5.0;Lower Manhattan;47.0;3.0;Tea;Brewed Green tea;Serenity Green Tea Lg;6.0;2023-01-01 07:59:58;7;Sunday;1;2023
17.0;1.0;5.0;Lower Manhattan;79.0;3.75;Bakery;Scone;Jumbo Savory Scone;3.75;2023-01-01 07:59:58;7;Sunday;1;2023
18.0;1.0;8.0;Hell's Kitchen;42.0;2.5;Tea;Brewed herbal tea;Lemon Grass Rg;2.5;2023-01-01 08:00:18;8;Sunday;1;2023
19.0;2.0;8.0;Hell's Kitchen;59.0;4.5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;9.0;2023-01-01 08:00:39;8;Sunday;1;2023
20.0;1.0;8.0;Hell's Kitchen;61.0;4.75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Lg;4.75;2023-01-01 08:11:45;8;Sunday;1;2023
21.0;2.0;8.0;Hell's Kitchen;33.0;3.5;Coffee;Gourmet brewed coffee;Ethiopia Lg;7.0;2023-01-01 08:17:27;8;Sunday;1;2023
22.0;2.0;5.0;Lower Manhattan;56.0;2.55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;5.1;2023-01-01 08:24:26;8;Sunday;1;2023
24.0;1.0;8.0;Hell's Kitchen;56.0;2.55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;2.55;2023-01-01 08:29:38;8;Sunday;1;2023
25.0;1.0;8.0;Hell's Kitchen;40.0;3.75;Coffee;Barista Espresso;Cappuccino;3.75;2023-01-01 08:31:23;8;Sunday;1;2023
26.0;1.0;5.0;Lower Manhattan;43.0;3.0;Tea;Brewed herbal tea;Lemon Grass Lg;3.0;2023-01-01 08:33:08;8;Sunday;1;2023
27.0;1.0;5.0;Lower Manhattan;76.0;3.5;Bakery;Biscotti;Chocolate Chip Biscotti;3.5;2023-01-01 08:33:08;8;Sunday;1;2023
28.0;2.0;5.0;Lower Manhattan;45.0;3.0;Tea;Brewed herbal tea;Peppermint Lg;6.0;2023-01-01 08:35:03;8;Sunday;1;2023
29.0;1.0;5.0;Lower Manhattan;71.0;3.75;Bakery;Pastry;Chocolate Croissant;3.75;2023-01-01 08:35:03;8;Sunday;1;2023
30.0;2.0;8.0;Hell's Kitchen;40.0;3.75;Coffee;Barista Espresso;Cappuccino;7.5;2023-01-01 08:41:57;8;Sunday;1;2023
31.0;1.0;8.0;Hell's Kitchen;38.0;3.75;Coffee;Barista Espresso;Latte;3.75;2023-01-01 08:52:03;8;Sunday;1;2023
32.0;1.0;5.0;Lower Manhattan;26.0;3.0;Coffee;Organic brewed coffee;Brazilian Rg;3.0;2023-01-01 08:52:32;8;Sunday;1;2023
34.0;2.0;5.0;Lower Manhattan;29.0;2.5;Coffee;Gourmet brewed coffee;Columbian Medium Roast Rg;5.0;2023-01-01 08:56:27;8;Sunday;1;2023
35.0;1.0;8.0;Hell's Kitchen;54.0;2.5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;2.5;2023-01-01 08:57:46;8;Sunday;1;2023
36.0;1.0;5.0;Lower Manhattan;26.0;3.0;Coffee;Organic brewed coffee;Brazilian Rg;3.0;2023-01-01 08:58:55;8;Sunday;1;2023
37.0;1.0;5.0;Lower Manhattan;55.0;4.0;Tea;Brewed Chai tea;Morning Sunrise Chai Lg;4.0;2023-01-01 09:00:12;9;Sunday;1;2023
38.0;2.0;8.0;Hell's Kitchen;40.0;3.75;Coffee;Barista Espresso;Cappuccino;7.5;2023-01-01 09:00:24;9;Sunday;1;2023
39.0;1.0;8.0;Hell's Kitchen;45.0;3.0;Tea;Brewed herbal tea;Peppermint Lg;3.0;2023-01-01 09:07:13;9;Sunday;1;2023
40.0;2.0;8.0;Hell's Kitchen;45.0;3.0;Tea;Brewed herbal tea;Peppermint Lg;6.0;2023-01-01 09:08:09;9;Sunday;1;2023
41.0;1.0;8.0;Hell's Kitchen;24.0;3.0;Coffee;Drip coffee;Our Old Time Diner Blend Lg;3.0;2023-01-01 09:08:13;9;Sunday;1;2023
;2.0;5.0;Lower Manhattan;;3.75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;7.5;2023-01-01 09:10:30;9;Sunday;1;2023
43.0;1.0;5.0;Lower Manhattan;78.0;4.5;Bakery;Scone;Scottish Cream Scone ;4.5;2023-01-01 09:10:30;9;Sunday;1;2023
44.0;1.0;5.0;Lower Manhattan;56.0;2.55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;2.55;2023-01-01 09:11:06;9;Sunday;1;2023
45.0;1.0;5.0;Lower Manhattan;77.0;3.0;Bakery;Scone;Oatmeal Scone;3.0;2023-01-01 09:11:06;9;Sunday;1;2023
46.0;1.0;5.0;Lower Manhattan;44.0;2.5;Tea;Brewed herbal tea;Peppermint Rg;2.5;2023-01-01 09:13:01;9;Sunday;1;2023
47.0;2.0;5.0;Lower Manhattan;56.0;2.55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;5.1;2023-01-01 09:13:15;9;Sunday;1;2023
48.0;1.0;5.0;Lower Manhattan;48.0;2.5;Tea;Brewed Black tea;English Breakfast Rg;2.5;2023-01-01 09:14:16;9;Sunday;1;2023
49.0;1.0;8.0;Hell's Kitchen;23.0;2.5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;2.5;2023-01-01 09:14:17;9;Sunday;1;2023
50.0;1.0;8.0;Hell's Kitchen;46.0;2.5;Tea;Brewed Green tea;Serenity Green Tea Rg;2.5;2023-01-01 09:14:25;9;Sunday;1;2023
51.0;1.0;8.0;Hell's Kitchen;32.0;3.0;Coffee;Gourmet brewed coffee;Ethiopia Rg;3.0;2023-01-01 09:14:41;9;Sunday;1;2023
52.0;2.0;5.0;Lower Manhattan;47.0;3.0;Tea;Brewed Green tea;Serenity Green Tea Lg;6.0;2023-01-01 09:15:09;9;Sunday;1;2023
53.0;2.0;5.0;Lower Manhattan;43.0;3.0;Tea;Brewed herbal tea;Lemon Grass Lg;6.0;2023-01-01 09:15:13;9;Sunday;1;2023
54.0;2.0;5.0;Lower Manhattan;25.0;2.2;Coffee;Organic brewed coffee;Brazilian Sm;4.4;2023-01-01 09:19:21;9;Sunday;1;2023
55.0;1.0;8.0;Hell's Kitchen;59.0;4.5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;4.5;2023-01-01 09:19:26;9;Sunday;1;2023
56.0;1.0;5.0;Lower Manhattan;38.0;3.75;Coffee;Barista Espresso;Latte;3.75;2023-01-01 09:21:08;9;Sunday;1;2023
57.0;1.0;8.0;Hell's Kitchen;45.0;3.0;Tea;Brewed herbal tea;Peppermint Lg;3.0;2023-01-01 09:22:17;9;Sunday;1;2023
58.0;1.0;5.0;Lower Manhattan;34.0;2.45;Coffee;Premium brewed coffee;Jamaican Coffee River Sm;2.45;2023-01-01 09:22:46;9;Sunday;1;2023
59.0;2.0;8.0;Hell's Kitchen;36.0;3.75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;7.5;2023-01-01 09:29:56;9;Sunday;1;2023
60.0;1.0;8.0;Hell's Kitchen;74.0;3.5;Bakery;Biscotti;Ginger Biscotti;3.5;2023-01-01 09:29:56;9;Sunday;1;2023
61.0;1.0;8.0;Hell's Kitchen;53.0;3.0;Tea;Brewed Chai tea;Traditional Blend Chai Lg;3.0;2023-01-01 09:29:57;9;Sunday;1;2023
62.0;2.0;8.0;Hell's Kitchen;41.0;4.25;Coffee;Barista Espresso;Cappuccino Lg;8.5;2023-01-01 09:34:17;9;Sunday;1;2023
63.0;1.0;5.0;Lower Manhattan;41.0;4.25;Coffee;Barista Espresso;Cappuccino Lg;4.25;2023-01-01 09:40:13;9;Sunday;1;2023
64.0;2.0;5.0;Lower Manhattan;45.0;3.0;Tea;Brewed herbal tea;Peppermint Lg;6.0;2023-01-01 09:41:22;9;Sunday;1;2023
66.0;2.0;5.0;Lower Manhattan;54.0;2.5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;5.0;2023-01-01 09:44:20;9;Sunday;1;2023
67.0;1.0;5.0;Lower Manhattan;24.0;3.0;Coffee;Drip coffee;Our Old Time Diner Blend Lg;3.0;2023-01-01 09:44:46;9;Sunday;1;2023
68.0;2.0;5.0;Lower Manhattan;37.0;3.0;Coffee;Barista Espresso;Espresso shot;6.0;2023-01-01 09:46:46;9;Sunday;1;2023
69.0;2.0;8.0;Hell's Kitchen;40.0;3.75;Coffee;Barista Espresso;Cappuccino;7.5;2023-01-01 09:47:40;9;Sunday;1;2023
70.0;2.0;5.0;Lower Manhattan;37.0;3.0;Coffee;Barista Espresso;Espresso shot;6.0;2023-01-01 09:50:44;9;Sunday;1;2023
71.0;1.0;5.0;Lower Manhattan;69.0;3.25;Bakery;Biscotti;Hazelnut Biscotti;3.25;2023-01-01 09:50:44;9;Sunday;1;2023
72.0;1.0;5.0;Lower Manhattan;50.0;2.5;Tea;Brewed Black tea;Earl Grey Rg;2.5;2023-01-01 09:52:58;9;Sunday;1;2023
73.0;1.0;8.0;Hell's Kitchen;47.0;3.0;Tea;Brewed Green tea;Serenity Green Tea Lg;3.0;2023-01-01 09:53:28;9;Sunday;1;2023
74.0;2.0;8.0;Hell's Kitchen;40.0;3.75;Coffee;Barista Espresso;Cappuccino;7.5;2023-01-01 09:53:44;9;Sunday;1;2023
75.0;1.0;8.0;Hell's Kitchen;72.0;3.25;Bakery;Scone;Ginger Scone;3.25;2023-01-01 09:53:44;9;Sunday;1;2023
76.0;1.0;8.0;Hell's Kitchen;35.0;3.1;Coffee;Premium brewed coffee;Jamaican Coffee River Rg;3.1;2023-01-01 09:53:49;9;Sunday;1;2023
77.0;1.0;5.0;Lower Manhattan;23.0;2.5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;2.5;2023-01-01 09:54:46;9;Sunday;1;2023
78.0;2.0;5.0;Lower Manhattan;43.0;3.0;Tea;Brewed herbal tea;Lemon Grass Lg;6.0;2023-01-01 09:55:16;9;Sunday;1;2023
80.0;2.0;8.0;Hell's Kitchen;32.0;3.0;Coffee;Gourmet brewed coffee;Ethiopia Rg;6.0;2023-01-01 10:00:39;10;Sunday;1;2023
81.0;2.0;8.0;Hell's Kitchen;36.0;3.75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;7.5;2023-01-01 10:03:55;10;Sunday;1;2023
82.0;1.0;5.0;Lower Manhattan;26.0;3.0;Coffee;Organic brewed coffee;Brazilian Rg;3.0;2023-01-01 10:14:49;10;Sunday;1;2023
83.0;1.0;5.0;Lower Manhattan;71.0;3.75;Bakery;Pastry;Chocolate Croissant;3.75;2023-01-01 10:14:49;10;Sunday;1;2023
84.0;2.0;5.0;Lower Manhattan;32.0;3.0;Coffee;Gourmet brewed coffee;Ethiopia Rg;6.0;2023-01-01 10:16:30;10;Sunday;1;2023
85.0;1.0;8.0;Hell's Kitchen;54.0;2.5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;2.5;2023-01-01 10:16:33;10;Sunday;1;2023
86.0;2.0;8.0;Hell's Kitchen;41.0;4.25;Coffee;Barista Espresso;Cappuccino Lg;8.5;2023-01-01 10:18:14;10;Sunday;1;2023
87.0;2.0;5.0;Lower Manhattan;25.0;2.2;Coffee;Organic brewed coffee;Brazilian Sm;4.4;2023-01-01 10:18:52;10;Sunday;1;2023
88.0;2.0;5.0;Lower Manhattan;23.0;2.5;Coffee;Drip coffee;Our Old Time Diner Blend Rg;5.0;2023-01-01 10:19:42;10;Sunday;1;2023
89.0;1.0;8.0;Hell's Kitchen;54.0;2.5;Tea;Brewed Chai tea;Morning Sunrise Chai Rg;2.5;2023-01-01 10:24:19;10;Sunday;1;2023
90.0;2.0;8.0;Hell's Kitchen;56.0;2.55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg;5.1;2023-01-01 10:25:22;10;Sunday;1;2023
91.0;2.0;5.0;Lower Manhattan;58.0;3.5;Drinking Chocolate;Hot chocolate;Dark chocolate Rg;7.0;2023-01-01 10:25:45;10;Sunday;1;2023
92.0;1.0;5.0;Lower Manhattan;74.0;3.5;Bakery;Biscotti;Ginger Biscotti;3.5;2023-01-01 10:25:45;10;Sunday;1;2023
93.0;2.0;8.0;Hell's Kitchen;47.0;3.0;Tea;Brewed Green tea;Serenity Green Tea Lg;6.0;2023-01-01 10:27:48;10;Sunday;1;2023
94.0;1.0;5.0;Lower Manhattan;35.0;3.1;Coffee;Premium brewed coffee;Jamaican Coffee River Rg;3.1;2023-01-01 10:30:07;10;Sunday;1;2023
95.0;1.0;5.0;Lower Manhattan;70.0;3.25;Bakery;Scone;Cranberry Scone;3.25;2023-01-01 10:30:07;10;Sunday;1;2023
96.0;1.0;8.0;Hell's Kitchen;60.0;3.75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg;3.75;2023-01-01 10:35:47;10;Sunday;1;2023
97.0;1.0;5.0;Lower Manhattan;59.0;4.5;Drinking Chocolate;Hot chocolate;Dark chocolate Lg;4.5;2023-01-01 10:41:53;10;Sunday;1;2023
98.0;2.0;5.0;Lower Manhattan;36.0;3.75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg;7.5;2023-01-01 10:47:53;10;Sunday;1;2023
99.0;2.0;8.0;Hell's Kitchen;51.0;3.0;Tea;Brewed Black tea;Earl Grey Lg;6.0;2023-01-01 10:49:13;10;Sunday;1;2023
